name,height,weight,pet
Henry,3,28.54,Cat
Denise,6.8,204.556,Cat
Denise,3.2,37.804,Cat
Peter,6.4,186.028,Dog
Louise,3.1,33.172,Cat
Jeffrey,4.1,79.492,Dog
Larry,3.5,51.7,Dog
James,4.5,98.02,Dog
Harry,7.3,227.716,Cat
Albert,6.6,195.292,Cat
Stephanie,6.6,195.292,Dog
Chris,7.3,227.716,Cat
Helen,5.8,158.236,Cat
Donald,6.6,195.292,Cat
Doris,7.5,236.98,Cat
Brenda,4.1,79.492,Cat
Wanda,4.8,111.916,Cat
James,6.7,199.924,Cat
Irene,7.4,232.348,Cat
Sarah,4.5,98.02,Dog
Norma,4.1,79.492,Cat
William,5.1,125.812,Dog
Sean,4.2,84.124,Dog
Alan,5.1,125.812,Dog
Julia,3.7,60.964,Dog
Julia,3.2,37.804,Cat
Chris,5.5,144.34,Cat
Gary,5.1,125.812,Dog
Kathryn,8,260.14,Cat
Angela,4.4,93.388,Dog
Tammy,6.7,199.924,Cat
Joshua,4.4,93.388,Dog
Sandra,4.8,111.916,Dog
Henry,4.5,98.02,Cat
Cheryl,3,28.54,Cat
Doris,7.8,250.876,Dog
Harry,3.8,65.596,Dog
Debra,4.8,111.916,Dog
Stephen,6.5,190.66,Cat
Betty,5.5,144.34,Cat
Lillian,5.6,148.972,Dog
Bruce,6.3,181.396,Dog
Nancy,6,167.5,Dog
Norma,5.5,144.34,Cat
Larry,4.8,111.916,Cat
Ronald,4.5,98.02,Dog
Tammy,3.7,60.964,Cat
Bonnie,4.4,93.388,Dog
Jonathan,7,213.82,Cat
Joe,4.1,79.492,Cat
Jessica,7.1,218.452,Cat
Howard,7.5,236.98,Dog
Lisa,6.2,176.764,Dog
Jeffrey,5.6,148.972,Dog
Jeremy,7.1,218.452,Cat
Louis,6.9,209.188,Cat
Ryan,4.8,111.916,Cat
Wayne,4.7,107.284,Dog
Theresa,6.6,195.292,Dog
Benjamin,5.8,158.236,Dog
Phillip,5.6,148.972,Dog
Joe,3.6,56.332,Dog
Howard,6.5,190.66,Cat
Mark,7.6,241.612,Dog
Amanda,7.6,241.612,Cat
Adam,4.3,88.756,Dog
Howard,6.6,195.292,Cat
Joshua,5.7,153.604,Cat
Gerald,6.5,190.66,Dog
Joyce,7.8,250.876,Cat
Barbara,6.1,172.132,Cat
Frances,3.7,60.964,Dog
Daniel,3.5,51.7,Dog
Stephen,3.7,60.964,Dog
Sean,3,28.54,Cat
Brandon,3.1,33.172,Dog
Ruth,4.8,111.916,Cat
Timothy,3.3,42.436,Dog
Jacqueline,7.7,246.244,Dog
Shirley,7.2,223.084,Cat
Michael,6.3,181.396,Cat
Amanda,5,121.18,Cat
Aaron,5.1,125.812,Cat
James,6.4,186.028,Dog
Anna,6.3,181.396,Cat
Theresa,6.5,190.66,Dog
Ashley,3.2,37.804,Cat
Teresa,3.7,60.964,Cat
Robin,3.9,70.228,Dog
Louise,6.4,186.028,Cat
Patrick,5.5,144.34,Dog
Diana,4.9,116.548,Cat
Alan,6.8,204.556,Cat
Arthur,3.5,51.7,Dog
Doris,7.9,255.508,Cat
Carol,7.8,250.876,Cat
Amy,4.6,102.652,Cat
Charles,7.8,250.876,Cat
Paul,6.4,186.028,Cat
Diane,3.5,51.7,Cat
Johnny,6,167.5,Cat
Matthew,3.9,70.228,Cat
Russell,4.1,79.492,Cat
Janet,5.6,148.972,Dog
Walter,7.7,246.244,Dog
Kevin,4.5,98.02,Dog
Gregory,5.6,148.972,Cat
Margaret,7.1,218.452,Dog
Nicole,4,74.86,Dog
Amanda,7.3,227.716,Cat
Lori,6,167.5,Dog
Martin,5.3,135.076,Dog
Bonnie,6.4,186.028,Dog
Jennifer,4.1,79.492,Dog
Terry,7.4,232.348,Dog
Howard,7.6,241.612,Dog
Sandra,6.5,190.66,Dog
Paul,3.7,60.964,Cat
David,3.1,33.172,Cat
Barbara,5.7,153.604,Cat
Kimberly,5.1,125.812,Cat
Martin,4.1,79.492,Cat
Anne,5.2,130.444,Cat
Philip,7.6,241.612,Cat
Norma,6.4,186.028,Cat
Kathryn,4.6,102.652,Dog
Walter,6.1,172.132,Cat
Carolyn,7.8,250.876,Cat
Patricia,6.8,204.556,Cat
Clarence,3.1,33.172,Cat
Pamela,4.4,93.388,Cat
Keith,5.5,144.34,Dog
Jimmy,4,74.86,Dog
Timothy,4.3,88.756,Cat
Roger,3,28.54,Cat
Eugene,6.6,195.292,Cat
Sara,6.1,172.132,Dog
Adam,3.5,51.7,Cat
Deborah,7.4,232.348,Cat
Raymond,3.9,70.228,Cat
Kenneth,4,74.86,Dog
Anne,5.4,139.708,Dog
Scott,7.4,232.348,Dog
Melissa,5.5,144.34,Dog
Heather,5.3,135.076,Dog
Thomas,3.3,42.436,Dog
Frances,6.4,186.028,Dog
Barbara,6.8,204.556,Cat
